Browse	Prehľadávať
Major Grids	Hlavné mriežky
Adds gridlines that subdivide the X axis into smaller sections.	Pridá mriežku, ktorá rozdelí os X na menšie časti.
Adds gridlines that subdivide the Y axis into smaller sections.	Pridá mriežku, ktorá rozdelí os Y na menšie časti.
Adds gridlines that subdivide the Z axis into smaller sections.	Pridá mriežku, ktorá rozdelí os Z na menšie časti.
Minor Grids	Vedľajšie mriežky
Subtitle	Podnázov
Enter the desired title for the chart.	Zadajte požadovaný názov grafu.
Enter the desired subtitle for the chart.	Zadajte požadovaný podnadpis grafu.
Enter the desired title for the X axis of the chart.	Zadajte požadovaný popis pre os X grafu.
Enter the desired title for the Y axis of the chart.	Zadajte požadovaný popis pre os Y grafu.
Enter the desired title for the Z axis of the chart.	Zadajte požadovaný popis pre os Z grafu.
Enter the desired secondary title for the X axis of the chart.	Zadajte požadovaný popis vedľajšej osi X grafu.
Enter the desired secondary title for the Y axis of the chart.	Zadajte požadovaný popis vedľajšej osi Y grafu.
Opens a dialog to enter or modify the titles in a chart.	Otvorí dialógové okno na zadanie alebo zmenu popisov grafu.
Paragraph	Odsek
Indents & Spacing	Odsadenie a rozostupy
Tabs	Tabulátory
Show labels	Zobraziť popisy
Reverse direction	Opačný smer
Label position:	Umiestnenie popisov:
Near Axis	Pri osi
Near Axis (other side)	Pri osi (opačná strana)
Outside start	Mimo začiatku
Outside end	Mimo konca
Text orientation:	Orientácia textu:
Show legend	Zobraziť legendu
Show Legend	Zobraziť legendu
Placement:	Umiestnenie:
Show the legend without overlapping the chart	Zobraziť legendu bez prekrývania grafu
X axis title	Názov osi X
Y axis title	Názov osi Y
Z axis title	Názov osi Z
2nd X axis	Sekundárna os X
2nd X axis title	Názov sekundárnej osi X
2nd Y axis	Sekundárna os Y
2nd Y axis title	Názov sekundárnej osi Y
Horizontal major	Hlavná vodorovná
Vertical major	Hlavná zvislá
Horizontal minor	Vedľajšia vodorovná
Vertical minor	Vedľajšia zvislá
Gridlines	Čiary mriežky
Title	Názvy
Category:	Kategória:
Constant	Konštanta
Cell Range or Data Table	Oblasť buniek alebo tabuľka dát
Standard deviation	Štandardná odchýlka
Standard error	Štandardná chyba
Error margin	Oblasť chyby
Positive (+):	Kladné (+):
Negative (-):	Záporné (-):
0.00	0,00
Indicator	Indikátor
Show data labels	Zobraziť popisy dát
Show trendline	Zobraziť trendovú čiara
Y error bars	Chybové úsečky Y
X error bars	Chybové úsečky X
Error Bars	Chybové úsečky
Primary Y axis	Primárna os Y
Secondary Y axis	Sekundárna os Y
Align Series to Axis	Zarovnať dátový rad na os
Data series '%1'	Dátový rad '%1'
3D Look	3D vzhľad
Simple	Jednoduchý
Realistic	Realistické
Shape	Útvar
Stack series	Zložené postupnosti
On top	V popredí
Percent	Percento
Line type	Typ čiary
Straight	Priama
Smooth	Vyhladiť
Stepped	Stupňová
Sort by X values	Zoradiť podľa hodnôt X
Number of lines	Počet čiar
Line Type:	Typ čiary:
Cubic spline	Kubický splajn
B-spline	B-splajn
Apply a line curve model.	Použiť model krivky.
Resolution:	Rozlíšenie:
Degree of polynomials:	Stupeň polynómov:
Set the resolution.	Nastaviť rozlíšenie.
Set the degree of the polynomials.	Nastaviť stupeň polynómu.
Start with horizontal line	Začať vodorovnou čiarou
Start with horizontal line and step up vertically at the end.	Začína vodorovnou čiarou a na konci vytvára zvislý stupeň.
Step at the horizontal mean	Stupeň na stred vodorovne
Start to step up vertically and end with horizontal line.	Na začiatku vytvára zvislý stupeň a končí vodorovnou čiarou.
End with horizontal line	Končiť vodorovnou čiarou
Step to the vertical mean	Stupeň po stred vertikálne
Type of Stepping	Typ stupňov
Allows you to manually enter the orientation angle.	Môžete ručne zadať uhol orientácie.
Vertically stacked	Usporiadať zvisle
Assigns vertical text orientation for cell contents.	Text v bunkách sa bude zobrazovať zvislo.
Text direction:	Smer textu:
Clicking anywhere on the wheel defines the variable text orientation.	Kliknutím kdekoľvek na koleso určíte orientáciu textu.
Text Orientation	Orientácia textu
Scheme	Schéma
Simple	Jednoduché
Custom	Vlastné
Select a scheme from the list box, or click any of the check boxes below.	Vyberte schému zo zoznamu alebo kliknite na zaškrtávacie polia nižšie.
Shading	Tieňovanie
Applies Gouraud shading if marked, or flat shading if unmarked.	Pokiaľ je zaškrtnuté, použije sa Gourardovo tieňovanie, inak sa použije ploché tieňovanie.
Object borders	Orámovanie hrán objektu
Shows borders around the areas by setting the line style to Solid.	Nastavením štýlu čiary na plný sa zobrazia okraje okolo oblasti.
Rounded edges	Zaoblené rohy
Edges are rounded by 5%.	Okraje sa o 5% zaoblia.
Right-angled axes	Pravouhlé osi
X rotation	Rotácia X
Y rotation	Rotácia Y
Z rotation	Rotácia Z
Sets the rotation of the chart on the z axis. The preview responds to the new settings.	Nastavuje rotáciu grafu na osi z. Náhľad sa mení podľa nových nastavení.
Sets the rotation of the chart on the y axis. The preview responds to the new settings.	Nastavuje rotáciu grafu na osi y. Náhľad sa mení podľa nových nastavení.
Sets the rotation of the chart on the x axis. The preview responds to the new settings.	Nastavuje rotáciu grafu na osi x. Náhľad sa mení podľa nových nastavení.
Light source 1	Zdroj svetla 1
Click to enable or disable the specular light source with highlights.	Kliknutím zapnete alebo vypnete odrazový svetelný zdroj so zvýraznením.
Light source 2	Zdroj svetla 2
Click to enable or disable the uniform light source.	Kliknutím vypnete alebo zapnete jednotný zdroj svetla.
Light source 3	Zdroj svetla 3
Light source 4	Zdroj svetla 4
Light source 5	Zdroj svetla 5
Light source 6	Zdroj svetla 6
Light source 7	Zdroj svetla 7
Light source 8	Zdroj svetla 8
Select a color for the selected light source.	Vyberte farbu pre vybraný zdroj svetla.
Select a color using the color dialog	Vybrať farbu použitím dialógového okna
Select a color using the color dialog.	Vyberte farbu pomocou dialógu pre výber farby.
Light Source	Zdroj svetla
Select a color for the ambient light.	Vyberte farbu okolitého osvetlenia.
Ambient Light	Okolité osvetlenie
Light Preview	Náhľad osvetlenia
Set the light sources for the 3D view.	Nastavenie zdrojov svetla pre 3D zobrazenie.
Cross other axis at	Pretnúť druhú os na
Start	Začiatok
End	Koniec
Category	Kategória
Select where to cross the other axis: at start, at end, at a specified value, or at a category.	Zvoľte, kde sa pretnú osi: na začiatku, na konci, na určenej hodnote alebo v kategórii.
Enter the value where the axis line should cross the other axis.	Zadajte hodnotu, kde sa osi pretnú.
Select the category where the axis line should cross the other axis.	Vyberte kategóriu, kde sa osi pretnú.
Axis between categories	Osi medzi kategóriami
Axis Line	Čiara osi
On tick marks	Na značkách
Between tick marks	Medzi značkami
Position Axis	Upraviť polohu osí
Place labels	Umiestniť popisy
Near axis	Blízko osi
Near axis (other side)	Blízko osi (opačná strana)
Select where to place the labels: near axis, near axis (other side), outside start, or outside end.	Zvoľte umiestnenie popisov: blízko osi, blízko osi (opačná strana), mimo začiatok, mimo koniec.
Distance	Vzdialenosť
Labels	Popisy
Major:	Hlavné:
Minor:	Vedľajšie:
Inner	Vnútorné
Specifies that marks are placed on the inner side of the axis.	Určuje, že sa značky zobrazia na vnútornej strane osi.
Outer	Vonkajšie
Specifies that marks are placed on the outer side of the axis.	Určuje, že sa značky zobrazia na vonkajšej strane osi.
Specifies that minor interval marks are placed on the inner side of the axis.	Určuje, že sa značky vedľajšieho intervalu zobrazia na vnútornej strane osi.
Specifies that minor interval marks are placed on the outer side of the axis.	Určuje, že sa značky vedľajšieho intervalu zobrazia na vonkajšej strane osi.
Place marks	Umiestniť značky
At labels	Na popisy
At axis	Na osi
At axis and labels	Na osi a popisy
Select where to place the marks: at labels, at axis, or at axis and labels.	Zvoľte umiestnenie značiek: na popisoch, na osi alebo na osi a popisoch.
Interval Marks	Značky intervalu
Show major grid	Zobraziť hlavnú mriežku
Show minor grid	Zobraziť vedľajšiu mriežku
More...	Viac...
Choose a Chart Type	Vybrať typ grafu
Select a sub type of the basic chart type.	Zvoľte variantu základného typu grafu.
Enables a 3D look for the data values.	Zapne 3D vzhľad dátových hodnôt.
Select the type of 3D look.	Zvoľte typ 3D vzhľadu.
Select a shape from the list.	Vyberte tvar zo zoznamu.
Displays stacked series for Line charts.	Zobrazuje zložené rady pre Čiarové grafy.
Stack series display values on top of each other.	Zložené rady zobrazujú hodnoty nad sebou.
Stack series display values as percent.	Skladané rady zobrazujú hodnoty ako percentá.
Choose the type of line to draw.	Zvoľte typ čiary.
Opens a dialog to set the line or curve properties.	Otvorí dialógové okno pre nastavenie vlastností čiary alebo krivky.
Set the number of lines for the Column and Line chart type.	Určenie počtu čiar pre typy grafov Stĺpcový a Čiarový.
Select a basic chart type.	Zvoľte základný typ grafu.
Hide legend entry	Skryť položku legendy
Do not show legend entry for the selected data series or data point.	Pre vybrané rady dát alebo dátové body nezobraziť položky legendy.
Legend Entry	Položka legendy
Data series:	Dátový rad:
Up	Nahor
Moves up the selected entry in the Data Series list.	Posunie označený záznam v zozname Dátových radov vyššie.
Removes the selected entry from the Data Series list.	Odstráni označený záznam zo zoznamu Dátových radov.
Down	Dole
Moves down the selected entry in the Data Series list.	Posunie označený záznam v zozname Dátových radov nižšie.
Data ranges:	Dátové oblasti:
Range for %VALUETYPE	Oblasť pre %VALUETYPE
Data labels	Popisy dát
Customize Data Ranges for Individual Data Series	Prispôsobiť dátové oblasti pre jednotlivé dátové rady
Positions the legend at the left of the chart.	Umiestni legendu vľavo od grafu.
Positions the legend at the right of the chart.	Umiestni legendu vpravo od grafu.
Positions the legend at the top of the chart.	Umiestni legendu nad graf.
Positions the legend at the bottom of the chart.	Umiestni legendu pod graf.
Specifies whether the legend should overlap the chart.	Určuje, či má legenda prekrývať graf.
Overlay	Prekrytie
Clockwise direction	V smere hodinových ručičiek
Orientation	Orientácia
Starting Angle	Počiatočný uhol
Include values from hidden cells	Zahrnúť hodnoty zo skrytých buniek
Plot Options	Možnosti diagramu
Choose a Data Range	Vybrať dátovú oblasť
Data range:	Dátová oblasť:
Data series in rows	Dátový rad v riadkoch
Data series in columns	Dátový rad v stĺpcoch
First row as label	Prvý riadok obsahuje popis osy
First column as label	Prvý stĺpec ako popis
Time based charting	Časovo závislé grafy
Start Table Index	Počiatočný index tabuľky
End Table Index	Koncový index tabuľky
Logarithmic scale	Logaritmická mierka
Specifies that you want the axis to be subdivided logarithmically.	Určuje, že chcete na osi použiť logaritmickú mierku.
Automatic	Automatický
Text	Text
Date	Dátum
Minimum	Minimum
Maximum	Maximum
Automatic	Automaticky
Defines the minimum value for the beginning of the axis.	Určuje minimálnu hodnotu zobrazenú na začiatku osi.
Defines the maximum value for the end of the axis.	Určuje maximálnu hodnotu zobrazenú na konci osi.
Resolution	Rozlíšenie
Days	Dni
Months	Mesiace
Years	Roky
Resolution can be set to show days, months, or years as interval steps.	Rozlíšenie môže byť nastavené na kroky po dňoch, mesiacoch alebo rokoch.
Major interval	Hlavný interval
Major interval can be set to show a certain number of days, months, or years.	Hlavné intervaly môžu byť nastavené na určitý počet dní, mesiacov alebo rokov.
Defines the interval for the main division of the axes.	Určuje interval hlavného delenia osi.
Minor interval	Vedľajší interval
Minor interval count	Počet vedľajších intervalov
Defines the interval for the subdivision of the axes.	Určuje interval vedľajšieho delenia osi.
Minor interval can be set to show a certain number of days, months, or years.	Vedľajšie intervaly môžu byť nastavené na určitý počet dní, mesiacov alebo rokov.
Reference value	Referenčná hodnota
Specifies at which position to display the values along the axis.	Určuje, kde sa majú zobrazovať hodnoty osi.
You must first deselect the Automatic option in order to modify the values.	Ak chcete tieto hodnoty upraviť, musíte najprv odznačiť hodnotu Automaticky.
This option is active as default. All data series are aligned to the primary Y axis.	Táto možnosť je implicitne zapnutá. Všetky riadky dát sú zarovnané k hlavnej osi Y.
Align Data Series to	Zarovnať dátový rad k
Spacing	Rozostupy
Overlap	Presah
Defines the spacing between the columns in percent.	Určuje vzdialenosť medzi stĺpcami v percentách.
Defines the necessary settings for overlapping data series.	Určuje nevyhnutné nastavenia pre presahujúce dátové rady.
Show bars side by side	Zobraziť panely vedľa seba
The bars from different data series are shown as if they were attached only to one axis.	Stĺpce z rôznych dátových radov sa zobrazujú, ako keby boli pripojené len k jednej osi.
Connection lines	Spojovacie čiary
Settings	Nastavenia
Plot missing values	Diagramu chýbajú dáta
Leave gap	Nechať medzeru
Assume zero	Prepokladať nulu
For a missing value, the y-value will be shown as zero. This is the default for chart type Area.	Chýbajúce hodnoty budú mať na osi Y hodnotu nula. Toto je predvolená voľba pre graf typu Oblasť.
Continue line	Pokračovať čiaru
Check to also show values of currently hidden cells within the source cell range.	Zaškrtnite, ak chcete zobraziť aj hodnoty skrytých buniek v zdrojovej oblasti buniek.
Linear	Lineárny
A linear trend line is shown.	Je zobrazená lineárna trendová krivka.
Logarithmic	Logaritmický
A logarithmic trend line is shown.	Je zobrazený logaritmický priebeh trendovej krivky.
Exponential	Exponenciálny
An exponential trend line is shown.	Je zobrazený exponenciálny priebeh trendovej krivky.
Power	Mocninný
A power trend line is shown.	Je zobrazený mocninový priebeh trendovej krivky.
Polynomial	Polynomický
A polynomial trend line is shown with a given degree.	Zobrazí polynomickú trendovú čiaru daného stupňa.
